"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Equity in business","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528167","1.17.3.3.1.1","1386","E","","","0"
"2016","Canada","2016A000011124","Equity in business","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528167","1.17.3.3.1.1","7807","E","","","0"
"1999","Canada","2016A000011124","Total debts","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528293","1.18.3.3.1.1","27294","","","","0"
"2005","Canada","2016A000011124","Total debts","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528293","1.18.3.3.1.1","33545","","","","0"
"2012","Canada","2016A000011124","Total debts","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528293","1.18.3.3.1.1","54800","","","","0"
"2016","Canada","2016A000011124","Total debts","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528293","1.18.3.3.1.1","61807","","","","0"
"1999","Canada","2016A000011124","Mortgages","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528419","1.19.3.3.1.1","16391","","","","0"
"2005","Canada","2016A000011124","Mortgages","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528419","1.19.3.3.1.1","19911","E","","","0"
"2012","Canada","2016A000011124","Mortgages","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528419","1.19.3.3.1.1","38635","E","","","0"
"2016","Canada","2016A000011124","Mortgages","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528419","1.19.3.3.1.1","45912","","","","0"
"1999","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528545","1.20.3.3.1.1","14534","","","","0"
"2005","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528545","1.20.3.3.1.1","15338","E","","","0"
"2012","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528545","1.20.3.3.1.1","33738","E","","","0"
"2016","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528545","1.20.3.3.1.1","35893","","","","0"
"1999","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528671","1.21.3.3.1.1","","F","","","0"
"2005","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528671","1.21.3.3.1.1","","F","","","0"
"2012","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528671","1.21.3.3.1.1","","F","","","0"
"2016","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528671","1.21.3.3.1.1","","F","","","0"
"1999","Canada","2016A000011124","Line of credit","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528797","1.22.3.3.1.1","864","E","","","0"
"2005","Canada","2016A000011124","Line of credit","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528797","1.22.3.3.1.1","2182","E","","","0"
"2012","Canada","2016A000011124","Line of credit","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528797","1.22.3.3.1.1","2396","E","","","0"
"2016","Canada","2016A000011124","Line of credit","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528797","1.22.3.3.1.1","2295","E","","","0"
