"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527505","1.12.1.3.5.1","14200","","","","0"
"2005","Canada","2016A000011124","Non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527505","1.12.1.3.5.1","16800","","","","0"
"2012","Canada","2016A000011124","Non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527505","1.12.1.3.5.1","17100","","","","0"
"2016","Canada","2016A000011124","Non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527505","1.12.1.3.5.1","21000","","","","0"
"1999","Canada","2016A000011124","Principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527631","1.13.1.3.5.1","138200","","","","0"
"2005","Canada","2016A000011124","Principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527631","1.13.1.3.5.1","168000","","","","0"
"2012","Canada","2016A000011124","Principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527631","1.13.1.3.5.1","257100","","","","0"
"2016","Canada","2016A000011124","Principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527631","1.13.1.3.5.1","260000","","","","0"
"1999","Canada","2016A000011124","Other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527757","1.14.1.3.5.1","84300","","","","0"
"2005","Canada","2016A000011124","Other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527757","1.14.1.3.5.1","96000","E","","","0"
"2012","Canada","2016A000011124","Other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527757","1.14.1.3.5.1","137200","E","","","0"
"2016","Canada","2016A000011124","Other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527757","1.14.1.3.5.1","150000","","","","0"
"1999","Canada","2016A000011124","Vehicles","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527883","1.15.1.3.5.1","6900","","","","0"
"2005","Canada","2016A000011124","Vehicles","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527883","1.15.1.3.5.1","8300","","","","0"
"2012","Canada","2016A000011124","Vehicles","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527883","1.15.1.3.5.1","8400","","","","0"
"2016","Canada","2016A000011124","Vehicles","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527883","1.15.1.3.5.1","8500","","","","0"
"1999","Canada","2016A000011124","Other non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528009","1.16.1.3.5.1","6900","","","","0"
"2005","Canada","2016A000011124","Other non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528009","1.16.1.3.5.1","6000","","","","0"
"2012","Canada","2016A000011124","Other non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528009","1.16.1.3.5.1","5300","","","","0"
"2016","Canada","2016A000011124","Other non-financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528009","1.16.1.3.5.1","5000","","","","0"
"1999","Canada","2016A000011124","Equity in business","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528135","1.17.1.3.5.1","4100","E","","","0"
"2005","Canada","2016A000011124","Equity in business","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528135","1.17.1.3.5.1","2400","E","","","0"
"2012","Canada","2016A000011124","Equity in business","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528135","1.17.1.3.5.1","200","E","","","0"
"2016","Canada","2016A000011124","Equity in business","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528135","1.17.1.3.5.1","1700","E","","","0"
"1999","Canada","2016A000011124","Total debts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528261","1.18.1.3.5.1","11300","","","","0"
"2005","Canada","2016A000011124","Total debts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528261","1.18.1.3.5.1","16200","","","","0"
"2012","Canada","2016A000011124","Total debts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528261","1.18.1.3.5.1","16900","","","","0"
"2016","Canada","2016A000011124","Total debts","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528261","1.18.1.3.5.1","21000","","","","0"
"1999","Canada","2016A000011124","Mortgages","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528387","1.19.1.3.5.1","80200","","","","0"
"2005","Canada","2016A000011124","Mortgages","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528387","1.19.1.3.5.1","81200","","","","0"
"2012","Canada","2016A000011124","Mortgages","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528387","1.19.1.3.5.1","131900","","","","0"
"2016","Canada","2016A000011124","Mortgages","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528387","1.19.1.3.5.1","140000","","","","0"
