,open,high,low,close,adjclose,volume,ticker
2020-07-21,16297.599609375,16317.400390625,15928.400390625,16161.2998046875,16161.2998046875,955579700,^GSPTSE
2020-07-28,16140.0,16317.900390625,16020.599609375,16169.2001953125,16169.2001953125,780685600,^GSPTSE
2020-08-04,16172.599609375,16647.30078125,16172.599609375,16605.5,16605.5,1107834900,^GSPTSE
2020-08-11,16579.19921875,16681.400390625,16454.0,16656.099609375,16656.099609375,1001474200,^GSPTSE
2020-08-18,16701.69921875,16706.599609375,16474.69921875,16626.599609375,16626.599609375,917647200,^GSPTSE
2020-08-25,16654.900390625,16835.099609375,16498.099609375,16514.400390625,16514.400390625,968240900,^GSPTSE
2020-09-01,16533.19921875,16725.69921875,16086.2001953125,16218.0,16218.0,877460200,^GSPTSE
2020-09-08,16064.5,16432.69921875,15956.0,16360.099609375,16360.099609375,1144160700,^GSPTSE
2020-09-15,16468.19921875,16515.19921875,15763.099609375,15981.7998046875,15981.7998046875,1446578700,^GSPTSE
2020-09-22,16048.900390625,16286.7998046875,15725.0,16242.7998046875,16242.7998046875,1037344100,^GSPTSE
2020-09-29,16231.2001953125,16418.599609375,16005.7001953125,16410.19921875,16410.19921875,1052489500,^GSPTSE
2020-10-06,16454.099609375,16611.0,16205.5,16562.80078125,16562.80078125,884277500,^GSPTSE
2020-10-13,16569.900390625,16575.400390625,16261.7998046875,16274.099609375,16274.099609375,1018246700,^GSPTSE
2020-10-20,16350.0,16369.900390625,15990.099609375,16079.599609375,16079.599609375,1013184700,^GSPTSE
2020-10-27,16084.7001953125,16104.599609375,15418.5,15696.900390625,15696.900390625,1090909500,^GSPTSE
2020-11-03,15791.7998046875,16715.69921875,15791.7998046875,16475.900390625,16475.900390625,1536717900,^GSPTSE
2020-11-10,16503.0,16889.80078125,16485.80078125,16889.80078125,16889.80078125,1396990300,^GSPTSE
2020-11-17,16800.19921875,17137.30078125,16768.69921875,17094.5,17094.5,1250129500,^GSPTSE
2020-11-24,17203.0,17411.0,17124.900390625,17190.30078125,17190.30078125,1303276200,^GSPTSE
2020-12-01,17431.30078125,17611.5,17220.900390625,17582.400390625,17582.400390625,1457317400,^GSPTSE
2020-12-08,17541.599609375,17668.0,17383.30078125,17387.400390625,17387.400390625,1275285100,^GSPTSE
